"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Defensive Player","5697","Chet","Holmgren","Chet Holmgren","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/chet-holmgren-odds-5697","140","0.0",1.4,"31.8","28.00",NA,NA,NA,"140","0.0",1.4,"33.6","28.00",NA,NA,NA,"120","0.0",1.2,"32.9","24.00",NA,NA,NA,"130","0.0",1.3,"35.2","26.00",NA,NA,NA,"135","0.0",1.35,"35.3","27.00",NA,NA,NA,"125","0.0",1.25,"33.7","25.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","140","0.0",1.4,NA,"28.00",2025-11-25
"Defensive Player","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/victor-wembanyama-odds-5809","350","0.0",3.5,"17.0","70.00",NA,NA,NA,"350","0.0",3.5,"17.9","70.00",NA,NA,NA,"400","0.0",4,"14.5","80.00",NA,NA,NA,"350","0.0",3.5,"18.0","70.00",NA,NA,NA,"350","0.0",3.5,"18.4","70.00",NA,NA,NA,"350","0.0",3.5,"16.8","70.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","400","0.0",4,NA,"80.00",2025-11-25
"Defensive Player","5355","Evan","Mobley","Evan Mobley","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=7","/betting/nba/player/evan-mobley-odds-5355","500","0.0",5,"12.7","100.00",NA,NA,NA,"500","0.0",5,"13.4","100.00",NA,NA,NA,"550","0.0",5.5,"11.1","110.00",NA,NA,NA,"600","0.0",6,"11.6","120.00",NA,NA,NA,"550","0.0",5.5,"12.8","110.00",NA,NA,NA,"500","0.0",5,"12.6","100.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","600","0.0",6,NA,"120.00",2025-11-25
"Defensive Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/amen-thompson-odds-5931","800","0.0",8,"8.5","160.00",NA,NA,NA,"900","0.0",9,"8.1","180.00",NA,NA,NA,"750","0.0",7.5,"8.5","150.00",NA,NA,NA,"850","0.0",8.5,"8.5","170.00",NA,NA,NA,"900","0.0",9,"8.3","180.00",NA,NA,NA,"800","0.0",8,"8.4","160.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","900","0.0",9,NA,"180.00",2025-11-25
"Defensive Player","5385","Dyson","Daniels","Dyson Daniels","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/dyson-daniels-odds-5385","1000","0.0",10,"6.9","200.00",NA,NA,NA,"900","0.0",9,"8.1","180.00",NA,NA,NA,"1300","0.0",13,"5.2","260.00",NA,NA,NA,"1400","0.0",14,"5.4","280.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"1100","0.0",11,"6.3","220.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1400","0.0",14,NA,"280.00",2025-11-25
"Defensive Player","3299","Draymond","Green","Draymond Green","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=7","/betting/nba/player/draymond-green-odds-3299","2000","0.0",20,"3.6","400.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"2500","0.0",25,"2.8","500.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"2500","0.0",25,"2.9","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3300","0.0",33,NA,"660.00",2025-11-25
"Defensive Player","4153","Bam","Adebayo","Bam Adebayo","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/bam-adebayo-odds-4153","2000","0.0",20,"3.6","400.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"1500","0.0",15,"4.5","300.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"2000","0.0",20,"3.6","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","4000","0.0",40,NA,"800.00",2025-11-25
"Defensive Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/ausar-thompson-odds-5932","4000","0.0",40,"1.9","800.00",NA,NA,NA,"3500","0.0",35,"2.2","700.00",NA,NA,NA,"3300","0.0",33,"2.1","660.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3500","0.0",35,"2.1","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","4000","0.0",40,NA,"800.00",2025-11-25
"Defensive Player","5390","Scottie","Barnes","Scottie Barnes","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=7","/betting/nba/player/scottie-barnes-odds-5390","6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"3300","0.0",33,"2.1","660.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","6000","0.0",60,NA,"1,200.00",2025-11-25
"Defensive Player","4808","Luguentz","Dort","Luguentz Dort","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/luguentz-dort-odds-4808","6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"3300","0.0",33,"2.1","660.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","6000","0.0",60,NA,"1,200.00",2025-11-25
