"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Defensive Player","5697","Chet","Holmgren","Chet Holmgren","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=9","/betting/nba/player/chet-holmgren-odds-5697","150","0.0",1.5,"29.8","30.00",NA,NA,NA,"140","0.0",1.4,"34.0","28.00",NA,NA,NA,"160","0.0",1.6,"31.5","32.00",NA,NA,NA,"150","0.0",1.5,"29.0","30.00",NA,NA,NA,"150","0.0",1.5,"32.4","30.00",NA,NA,NA,"150","0.0",1.5,"33.6","30.00",NA,NA,NA,"175","0.0",1.75,"31.6","35.00",NA,NA,NA,"mgm","175","0.0",1.75,NA,"35.00",2025-12-25
"Defensive Player","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=9","/betting/nba/player/victor-wembanyama-odds-5809","300","0.0",3,"18.6","60.00",NA,NA,NA,"400","0.0",4,"16.3","80.00",NA,NA,NA,"330","0.0",3.3,"19.0","66.00",NA,NA,NA,"260","0.0",2.6,"20.1","52.00",NA,NA,NA,"300","0.0",3,"20.2","60.00",NA,NA,NA,"300","0.0",3,"21.0","60.00",NA,NA,NA,"275","0.0",2.75,"23.2","55.00",NA,NA,NA,"caesars","400","0.0",4,NA,"80.00",2025-12-25
"Defensive Player","4153","Bam","Adebayo","Bam Adebayo","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=9","/betting/nba/player/bam-adebayo-odds-4153","400","0.0",4,"14.9","80.00",NA,NA,NA,"550","0.0",5.5,"12.6","110.00",NA,NA,NA,"700","0.0",7,"10.2","140.00",NA,NA,NA,"650","0.0",6.5,"9.7","130.00",NA,NA,NA,"700","0.0",7,"10.1","140.00",NA,NA,NA,"700","0.0",7,"10.5","140.00",NA,NA,NA,"650","0.0",6.5,"11.6","130.00",NA,NA,NA,"draftkings","700","0.0",7,NA,"140.00",2025-12-25
"Defensive Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=9","/betting/nba/player/amen-thompson-odds-5931","900","0.0",9,"7.5","180.00",NA,NA,NA,"800","0.0",8,"9.1","160.00",NA,NA,NA,"800","0.0",8,"9.1","160.00",NA,NA,NA,"850","0.0",8.5,"7.6","170.00",NA,NA,NA,"900","0.0",9,"8.1","180.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"950","0.0",9.5,"8.3","190.00",NA,NA,NA,"hardrock","2000","0.0",20,NA,"400.00",2025-12-25
"Defensive Player","5390","Scottie","Barnes","Scottie Barnes","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=9","/betting/nba/player/scottie-barnes-odds-5390","2000","0.0",20,"3.6","400.00",NA,NA,NA,"1800","0.0",18,"4.3","360.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"1400","0.0",14,"4.8","280.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2200","0.0",22,"3.8","440.00",NA,NA,NA,"mgm","2200","0.0",22,NA,"440.00",2025-12-25
"Defensive Player","3299","Draymond","Green","Draymond Green","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=9","/betting/nba/player/draymond-green-odds-3299","2500","0.0",25,"2.9","500.00",NA,NA,NA,"2200","0.0",22,"3.6","440.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2200","0.0",22,"3.2","440.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2200","0.0",22,"3.8","440.00",NA,NA,NA,"betrivers","2500","0.0",25,NA,"500.00",2025-12-25
"Defensive Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=9","/betting/nba/player/ausar-thompson-odds-5932","3000","0.0",30,"2.4","600.00",NA,NA,NA,"2400","0.0",24,"3.3","480.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"2500","0.0",25,"2.8","500.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"3000","0.0",30,"2.8","600.00",NA,NA,NA,"mgm","3000","0.0",30,NA,"600.00",2025-12-25
"Defensive Player","5355","Evan","Mobley","Evan Mobley","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=9","/betting/nba/player/evan-mobley-odds-5355","2000","0.0",20,"3.6","400.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"2000","0.0",20,"3.5","400.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"3500","0.0",35,"2.4","700.00",NA,NA,NA,"mgm","3500","0.0",35,NA,"700.00",2025-12-25
"Defensive Player","3440","Rudy","Gobert","Rudy Gobert","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=9","/betting/nba/player/rudy-gobert-odds-3440","4000","0.0",40,"1.8","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"2500","0.0",25,"2.8","500.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"3500","0.0",35,"2.4","700.00",NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2025-12-25
"Defensive Player","5385","Dyson","Daniels","Dyson Daniels","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=9","/betting/nba/player/dyson-daniels-odds-5385","3000","0.0",30,"2.4","600.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"2500","0.0",25,"2.8","500.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"4500","0.0",45,"1.9","900.00",NA,NA,NA,"mgm","4500","0.0",45,NA,"900.00",2025-12-25
